"label","text"
0,"that equipment market U.S. industry"
1,"that equipment market the equipment needed to produce those chips"
0,"that equipment market the market for dynamic random access memory chips"
0,"A state - of - the - art plant it"
0,"A state - of - the - art plant industrywide efforts"
1,"A state - of - the - art plant semiconductor manufacturing"
0,"the technology it"
0,"the technology A state - of - the - art plant"
1,"the technology semiconductor manufacturing"
1,"the two - thirds majority required to prevail over Mr. Bush the chamber"
0,"the two - thirds majority required to prevail over Mr. Bush a margin of 51 votes"
0,"the two - thirds majority required to prevail over Mr. Bush The Democratic - controlled House"
1,"reservations the measure"
0,"reservations further provisions sought by the influential California delegation"
0,"reservations The action"
1,"Majority Whip the Senate"
0,"Majority Whip the Small Business Administration"
0,"Majority Whip the president"
0,"often influential members the Appropriations Committee leadership"
0,"often influential members a House - Senate conference"
1,"often influential members House - Senate"
0,"formal approval The clearance by the Food and Drug Administration"
1,"formal approval the Food and Drug Administration"
0,"formal approval Announcement of the approval"
0,"advanced infection the drug"
1,"advanced infection the disease"
0,"advanced infection two years of restricted access for the youngest victims of AIDS to the only antiviral drug yet cleared to treat the fatal disease"
0,"a daughter Ariel a Los Angeles mother and activist who contracted the AIDS virus through a blood transfusion , and transmitted it to two of her children"
1,"a daughter Ariel Elizabeth Glaser , a Los Angeles mother and activist who contracted the AIDS virus through a blood transfusion , and transmitted it to two of her children"
0,"a daughter Ariel a blood transfusion"
0,"a pediatric syrup form easier for youngsters to take corporate inertia because children account for just 1 % of the patient population and hence a small part of the large and lucrative market"
1,"a pediatric syrup form easier for youngsters to take AZT 's"
0,"a pediatric syrup form easier for youngsters to take a small part of the large and lucrative market"
1,"officials The White House"
0,"officials other substances found on fresh and processed foods"
0,"officials pesticides and other substances found on fresh and processed foods"
0,"Communist Party he"
0,"Communist Party talks with opposition groups pressing for internal changes"
1,"Communist Party East German"
0,"political parties Communist Party"
0,"political parties A Lebanese Christian alliance"
1,"political parties Lebanon 's"
0,"political changes political parties"
1,"political changes Lebanon 's"
0,"political changes the coalition of political parties"
1,"A department spokesman The Justice Department"
0,"A department spokesman a court order allowing former National Security Adviser Poindexter to subpoena ex-President Reagan 's personal papers for use in the defense case against Iran - Contra charges"
0,"A department spokesman a possible challenge to a court order allowing former National Security Adviser Poindexter to subpoena ex-President Reagan 's personal papers for use in the defense case against Iran - Contra charges"
0,"a controlling stake Fresenius AG"
0,"a controlling stake its"
1,"a controlling stake Delmed"
0,"president its"
0,"president a major distributor , National Medical Care Inc"
1,"president Delmed"
0,"chief executive its"
0,"chief executive a major distributor , National Medical Care Inc"
1,"chief executive Delmed"
0,"a director a major distributor , National Medical Care Inc"
1,"a director Delmed"
0,"a director negotiations about pricing"
0,"a consultant a major distributor , National Medical Care Inc"
1,"a consultant Delmed"
0,"a consultant Robert S. Ehrlich"
1,"chief operating officer Delmed"
0,"chief operating officer Robert S. Ehrlich"
0,"chief operating officer Mr. Ehrlich"
1,"chief financial officer Delmed"
0,"chief financial officer Robert S. Ehrlich"
0,"chief financial officer Mr. Ehrlich"
1,"chairman the company"
0,"chairman Mr. Ehrlich"
0,"president Fresenius USA"
1,"president the company"
0,"president a West German pharmaceutical concern"
0,"chief executive Fresenius USA"
1,"chief executive the company"
0,"chief executive Fresenius , a West German pharmaceutical concern"
0,"chief operating officer Fresenius USA"
1,"chief operating officer the company"
0,"chief operating officer Fresenius , a West German pharmaceutical concern"
1,"distribution arrangements dialysis products"
0,"distribution arrangements Delmed"
0,"distribution arrangements addition"
1,"that March 1980"
0,"The answer George Bush"
1,"The answer So what does George Bush really believe ?"
0,"The answer the mother 's life"
0,"a true believer this man"
1,"a true believer Anti-abortion"
0,"a true believer all honesty"
1,"political advisers who say the issue is vital to younger voters his"
0,"political advisers who say the issue is vital to younger voters his moderate Republican heritage"
0,"political advisers who say the issue is vital to younger voters it"
1,"federal funding abortions"
0,"federal funding abortion"
0,"federal funding his staff"
0,"any new curbs human life"
0,"any new curbs abortion restrictions"
1,"any new curbs abortion"
1,"Terms buy"
0,"Terms it"
0,"Terms Shaw - Walker Co"
1,"the occupied Arab territories Israel"
0,"the occupied Arab territories Jerusalem"
0,"the occupied Arab territories its correspondent in Jerusalem"
0,"The new accusations these"
1,"The new accusations It"
0,"The new accusations detailed accounts of alleged terrorist acts and plans linked to Mr. Arafat"
0,"the diamonds uncovered the world 's"
0,"the diamonds uncovered pounding waves"
1,"the diamonds uncovered the world 's most inhospitable diamond dig"
0,"the mine headquarters Africa"
1,"the mine headquarters The mining zone"
0,"the mine headquarters the most desolate places in Africa"
0,"the streets Ghost towns"
0,"the streets the mine headquarters"
1,"the streets Oranjemund , the mine headquarters ,"
0,"the flood Last year"
1,"the flood the rising Orange River"
0,"the flood six video rental shops"
1,"the sand the dunes"
0,"the sand the new Namibian government"
0,"the sand the mine 's"
1,"the battering waves the ocean"
0,"the battering waves the sand"
0,"the battering waves the beach"
0,"A companion jetty that helps hold back the sea front of the wall"
0,"A companion jetty that helps hold back the sea the mining in front of the wall"
1,"A companion jetty that helps hold back the sea it"
1,"the waves the ocean"
0,"the waves the sea"
0,"the waves the barrier"
1,"a panel discussion The conference"
0,"a panel discussion the euphoria at the American Magazine Conference here"
0,"a panel discussion president"
1,"reader 's magazines"
0,"reader 's magazines '"
0,"reader 's the magazines they subscribe to"
1,"The critics magazines"
0,"The critics Reuben Mark , chief executive of Colgate - Palmolive ,"
0,"The critics chief executive of Colgate - Palmolive"
1,"executives the magazine industry"
0,"executives magazines"
0,"executives reader 's"
1,"Readers magazines"
0,"Readers even a magazine for left - handed golfers"
0,"Readers the wide imitation of Elle , a fashion magazine published by Diamandis Communications Inc. ,"
0,"the criticisms magazines"
0,"the criticisms all those ad pages at the front of a magazine"
1,"the criticisms a magazine"
1,"Twenty - five years 1965"
1,"the mayor New York City"
0,"the mayor the borough of Brooklyn"
0,"the mayor Brooklyn"
0,"the City Council New York City"
1,"the City Council New York 's"
0,"the City Council New York 's system of government"
0,"city - wide elections at - large voting for the nine member City Council"
0,"city - wide elections the nine member City Council"
1,"city - wide elections the city"
0,"the consequences the Voting Rights Act"
0,"the consequences No federal court"
1,"the consequences a districting plan for Birmingham that carves out three white - majority districts and six black - majority districts"
1,"the state 's the land"
0,"the state 's Tons of delectably rotting potatoes , barley and wheat"
0,"the state 's farmers"
1,"a result turn"
0,"a result thousands of farmers"
0,"a result Many a piglet"
1,"this dying and distorted system Poland 's"
0,"this dying and distorted system Poland 's future"
0,"this dying and distorted system inflation"
1,"emergency food aid moving in from the West Poland 's"
0,"emergency food aid moving in from the West even Solidarity 's sympathetic new government"
0,"emergency food aid moving in from the West his hands"
1,"prices meat , milk and grain"
0,"prices July 's usual state - directed price rises"
0,"prices July 's"
0,"the trodden field the state 's"
1,"the trodden field the private market in Radzymin , a town not far from Warsaw ,"
0,"the trodden field the state 's official buyers"
0,"the next truck the field"
1,"the next truck it"
0,"the next truck Asbestos . Made in U.S.S.R"
